Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-06 10:00:00+07:00,884.0999756,886.1099854,883.7199707,884.9299927,0,0,0
2023-11-06 10:15:00+07:00,885.289978,885.289978,882.4699707,882.8300171,0,0,0
2023-11-06 10:30:00+07:00,882.6500244,883.3099976,881.5100098,882.7600098,0,0,0
2023-11-06 10:45:00+07:00,882.9500122,882.9500122,880.1400146,881.0900269,0,0,0
2023-11-06 11:00:00+07:00,880.6699829,880.6900024,877.5700073,879.4799805,0,0,0
2023-11-06 11:15:00+07:00,879.7399902,882.0800171,879.7399902,881.1699829,0,0,0
2023-11-06 11:30:00+07:00,881.0499878,881.9400024,879.8499756,880.8400269,0,0,0
2023-11-06 11:45:00+07:00,880.9000244,881.3599854,880.0599976,880.9099731,0,0,0
2023-11-06 12:00:00+07:00,880.9899902,881.710022,880.1400146,881.4699707,0,0,0
2023-11-06 12:15:00+07:00,881.539978,881.7299805,879.5200195,880.960022,0,0,0
2023-11-06 12:30:00+07:00,881.0200195,881.0200195,881.0200195,881.0200195,0,0,0
2023-11-06 14:15:00+07:00,881.8800049,881.8800049,879.460022,880.0999756,0,0,0
2023-11-06 14:30:00+07:00,880.3200073,880.6400146,878.9400024,880.6199951,0,0,0
2023-11-06 14:45:00+07:00,880.1900024,880.5599976,878.4099731,879.5800171,0,0,0
2023-11-06 15:00:00+07:00,880.0300293,881.6099854,878.3599854,880.5900269,0,0,0
2023-11-06 15:15:00+07:00,881.1900024,882.2199707,879.3499756,880.460022,0,0,0
2023-11-06 15:30:00+07:00,881.0599976,882.289978,879.1799927,882.1199951,0,0,0
2023-11-06 15:45:00+07:00,881.6400146,882.5100098,879.9099731,881.1699829,0,0,0
2023-11-06 16:00:00+07:00,881.1500244,881.9000244,878.9099731,879.6699829,0,0,0
2023-11-06 16:15:00+07:00,879.6400146,880.2399902,877.5300293,877.8900146,0,0,0
2023-11-07 10:00:00+07:00,874.1199951,875.7800293,871.7399902,871.7399902,0,0,0
2023-11-07 10:15:00+07:00,872.460022,875.0599976,871.5700073,874.9299927,0,0,0
2023-11-07 10:30:00+07:00,874.5200195,875.6900024,873.6400146,874.3800049,0,0,0
2023-11-07 10:45:00+07:00,874.8900146,879.9000244,874.5300293,878.1699829,0,0,0
2023-11-07 11:00:00+07:00,878.0499878,879.460022,876.8800049,877.7000122,0,0,0
2023-11-07 11:15:00+07:00,877.4400024,878.4199829,876.2700195,877.539978,0,0,0
2023-11-07 11:30:00+07:00,877.2800293,878.1599731,876.1699829,877.7299805,0,0,0
2023-11-07 11:45:00+07:00,876.7999878,878.0800171,876.1500244,877.5499878,0,0,0
2023-11-07 12:00:00+07:00,877.4199829,877.8800049,876.0300293,876.1400146,0,0,0
2023-11-07 12:15:00+07:00,876.4799805,877.1099854,875.3800049,875.6699829,0,0,0
2023-11-07 12:30:00+07:00,876.7800293,876.7800293,876.7800293,876.7800293,0,0,0
2023-11-07 14:15:00+07:00,876.960022,878.8499756,876.8599854,877.8800049,0,0,0
2023-11-07 14:30:00+07:00,877.8300171,879.039978,877.2800293,878.2700195,0,0,0
2023-11-07 14:45:00+07:00,878.0300293,878.0800171,873.8499756,874.25,0,0,0
2023-11-07 15:00:00+07:00,874.1799927,875.3300171,873.2000122,874.9500122,0,0,0
2023-11-07 15:15:00+07:00,874.8400269,875.8900146,873.7299805,875.4299927,0,0,0
2023-11-07 15:30:00+07:00,874.9000244,875.7700195,873.9299927,874.7800293,0,0,0
2023-11-07 15:45:00+07:00,874.9299927,875.7800293,873.2800293,873.4199829,0,0,0
2023-11-07 16:00:00+07:00,873.8599854,874.3800049,870.539978,870.9799805,0,0,0
2023-11-07 16:15:00+07:00,871.4400024,872.6199951,870.2199707,870.7600098,0,0,0
2023-11-08 10:00:00+07:00,871.7600098,873.3300171,870.0700073,872.3200073,0,0,0
2023-11-08 10:15:00+07:00,872.0599976,874.3699951,872.0599976,872.5900269,0,0,0
2023-11-08 10:30:00+07:00,873.0800171,873.1900024,871.6199951,872.5800171,0,0,0
2023-11-08 10:45:00+07:00,873.0499878,873.460022,871.4899902,872.2399902,0,0,0
2023-11-08 11:00:00+07:00,871.5999756,873.210022,871.5100098,872.9899902,0,0,0
2023-11-08 11:15:00+07:00,872.6300049,873.6699829,871.6199951,873.2000122,0,0,0
2023-11-08 11:30:00+07:00,872.789978,876.289978,872.4400024,876.1400146,0,0,0
